Brew pilot check: Dustin's 15 brews under k3 and kp3   (2026-09-25 07:16)

Diagnostic add-on /home/dacz8976/diag-kp-addon/module/pdl_rl_env.abi3.so sha256 c048388b4bcf7103375ea0a1e7c9e965be8e350000c3ac873bd111b69e1eae19 (engine at c7cb688; not the verified 0.7.2 wheel).
100 paired deals per matchup, seeds 21,050,000,000 + brew x 1,000,000 + opponent x 10,000 + i. Games that did not replay exactly or raised an error: 0 of 24,000; a deal counts only when all three rows' games are clean.

Rows are brew pilot | opponent pilot. The brew's win % in each row; two paired differences (95% interval):
  'pilot' = kp3|k3 - k3|k3 (what k3 understates, against k3 opponents);
  'meta'  = kp3|kp3 - kp3|k3 (does it move again when the meta side prices too).
Per brew turn where Thieving Incisors (TI) / Copycat was on offer: turns the brew used it / turns on offer.

  brew v opponent                     n  k3|k3  kp3|k3  kp3|kp3         pilot          meta        TI k3|k3    TI kp3|k3   TI kp3|kp3    Copycat k3|k3 Copycat kp3|k3
  09-mega-manectric v blaziken      100   56.0    62.0      nan    +6.0 ±7.3     +nan ±nan              0/0          0/0            —        13/175 7%      56/87 64%
  09-mega-manectric v hydreigon     100   73.0    71.0      nan    -2.0 ±4.8     +nan ±nan              0/0          0/0            —       14/128 11%      40/77 52%
  09-mega-manectric v lucario       100   49.0    46.0      nan    -3.0 ±6.5     +nan ±nan              0/0          0/0            —       15/137 11%      46/73 63%
  09-mega-manectric v sceptile      100   53.0    56.0      nan    +3.0 ±5.9     +nan ±nan              0/0          0/0            —        10/142 7%      42/81 52%
  09-mega-manectric v suicune       100   69.0    67.0      nan    -2.0 ±6.8     +nan ±nan              0/0          0/0            —       14/142 10%      42/74 57%
  09-mega-manectric v vespiquen     100   75.0    74.0      nan    -1.0 ±7.6     +nan ±nan              0/0          0/0            —       19/179 11%      55/92 60%
  09-mega-manectric v weezing       100   55.0    61.0      nan    +6.0 ±7.3     +nan ±nan              0/0          0/0            —       19/141 13%      53/90 59%
  09-mega-manectric v all eight     800   62.3    63.1      nan    +0.9 ±2.3     +nan ±nan              0/0          0/0            —     119/1152 10%    370/639 58%

  10-xatu-oricorio- v altaria       100   22.0    23.0      nan    +1.0 ±8.1     +nan ±nan              0/0          0/0            —       53/249 21%    120/196 61%
  10-xatu-oricorio- v blaziken      100   27.0    27.0      nan    +0.0 ±9.2     +nan ±nan              0/0          0/0            —       26/254 10%    128/190 67%
  10-xatu-oricorio- v hydreigon     100   20.0    20.0      nan    +0.0 ±6.2     +nan ±nan              0/0          0/0            —       24/204 12%     95/168 57%
  10-xatu-oricorio- v lucario       100   38.0    46.0      nan    +8.0 ±7.2     +nan ±nan              0/0          0/0            —       22/208 11%    113/170 66%
  10-xatu-oricorio- v sceptile      100   20.0    21.0      nan    +1.0 ±7.1     +nan ±nan              0/0          0/0            —        20/257 8%    121/175 69%
  10-xatu-oricorio- v suicune       100    3.0     7.0      nan    +4.0 ±3.9     +nan ±nan              0/0          0/0            —       30/212 14%    108/172 63%
  10-xatu-oricorio- v vespiquen     100   10.0     8.0      nan    -2.0 ±4.8     +nan ±nan              0/0          0/0            —       31/254 12%    135/192 70%
  10-xatu-oricorio- v weezing       100    4.0     3.0      nan    -1.0 ±4.4     +nan ±nan              0/0          0/0            —       24/192 12%    109/153 71%
  10-xatu-oricorio- v all eight     800   18.0    19.4      nan    +1.4 ±2.3     +nan ±nan              0/0          0/0            —     230/1830 13%   929/1416 66%

  11-archaludon-hax v altaria       100   24.0    24.0      nan    +0.0 ±7.4     +nan ±nan              0/0          0/0            —       59/138 43%     65/106 61%
