Brew pilot check: Dustin's 24 brews under k3 and kp3   (2026-09-25 10:08)

Diagnostic add-on /home/dacz8976/diag-kp-addon/module/pdl_rl_env.abi3.so sha256 c048388b4bcf7103375ea0a1e7c9e965be8e350000c3ac873bd111b69e1eae19 (engine at c7cb688; not the verified 0.7.2 wheel).
60 paired deals per matchup, seeds 21,070,000,000 + brew x 1,000,000 + opponent x 10,000 + i. Games that did not replay exactly or raised an error: 0 of 23,040; a deal counts only when all 2 rows' games are clean.

Rows are brew pilot | opponent pilot. The brew's win % in each row; three paired differences (95% interval):
  'pilot' = kp3|k3 - k3|k3 (what k3 understates, against k3 opponents);
  'meta'  = kp3|kp3 - kp3|k3 (does it move again when the meta side prices too);
  'both'  = kp3|kp3 - k3|k3 (kp3 on both sides against k3 on both sides).
Per brew turn where Thieving Incisors (TI) / Copycat was on offer: turns the brew used it / turns on offer.

  brew v opponent                       n  k3|k3  kp3|k3  kp3|kp3         pilot          meta          both        TI k3|k3    TI kp3|k3   TI kp3|kp3    Copycat k3|k3 Copycat kp3|k3
  04-absol-hoopa-darkra v vespiquen    60   10.0     nan     10.0    +nan ±nan     +nan ±nan     +0.0 ±9.3              0/0            —          0/0         9/196 5%              —
  04-absol-hoopa-darkra v weezing      60   26.7     nan     26.7    +nan ±nan     +nan ±nan     +0.0 ±14.0             0/0            —          0/0        10/210 5%              —
  04-absol-hoopa-darkra v all eight   480   32.9     nan     30.8    +nan ±nan     +nan ±nan     -2.1 ±4.8              0/0            —          0/0       74/1634 5%              —

  05-indeedee-stoutland v altaria      60   33.3     nan     26.7    +nan ±nan     +nan ±nan     -6.7 ±14.6             0/0            —          0/0       43/181 24%              —
  05-indeedee-stoutland v blaziken     60   33.3     nan     23.3    +nan ±nan     +nan ±nan    -10.0 ±10.1             0/0            —          0/0       33/159 21%              —
  05-indeedee-stoutland v hydreigon    60   31.7     nan     30.0    +nan ±nan     +nan ±nan     -1.7 ±14.4             0/0            —          0/0       37/171 22%              —
  05-indeedee-stoutland v lucario      60   38.3     nan     25.0    +nan ±nan     +nan ±nan    -13.3 ±11.8             0/0            —          0/0       36/151 24%              —
  05-indeedee-stoutland v sceptile     60   23.3     nan     18.3    +nan ±nan     +nan ±nan     -5.0 ±8.6              0/0            —          0/0       37/228 16%              —
  05-indeedee-stoutland v suicune      60   41.7     nan     38.3    +nan ±nan     +nan ±nan     -3.3 ±15.4             0/0            —          0/0       32/197 16%              —
  05-indeedee-stoutland v vespiquen    60   30.0     nan     30.0    +nan ±nan     +nan ±nan     +0.0 ±13.2             0/0            —          0/0       34/188 18%              —
  05-indeedee-stoutland v weezing      60   26.7     nan     25.0    +nan ±nan     +nan ±nan     -1.7 ±12.8             0/0            —          0/0       32/145 22%              —
  05-indeedee-stoutland v all eight   480   32.3     nan     27.1    +nan ±nan     +nan ±nan     -5.2 ±4.5              0/0            —          0/0     284/1420 20%              —

  06-mega-blaziken-tour v altaria      60   35.0     nan     48.3    +nan ±nan     +nan ±nan    +13.3 ±15.8             0/0            —          0/0       42/195 22%              —
  06-mega-blaziken-tour v blaziken     60   53.3     nan     53.3    +nan ±nan     +nan ±nan     +0.0 ±14.7             0/0            —          0/0        17/186 9%              —
  06-mega-blaziken-tour v hydreigon    60   68.3     nan     53.3    +nan ±nan     +nan ±nan    -15.0 ±13.8             0/0            —          0/0        12/217 6%              —
  06-mega-blaziken-tour v lucario      60   41.7     nan     51.7    +nan ±nan     +nan ±nan    +10.0 ±13.7             0/0            —          0/0        15/194 8%              —
  06-mega-blaziken-tour v sceptile     60   51.7     nan     66.7    +nan ±nan     +nan ±nan    +15.0 ±13.0             0/0            —          0/0         9/160 6%              —
  06-mega-blaziken-tour v suicune      60   61.7     nan     71.7    +nan ±nan     +nan ±nan    +10.0 ±11.1             0/0            —          0/0       17/159 11%              —
  06-mega-blaziken-tour v vespiquen    60   66.7     nan     81.7    +nan ±nan     +nan ±nan    +15.0 ±13.8             0/0            —          0/0        14/219 6%              —
  06-mega-blaziken-tour v weezing      60   45.0     nan     53.3    +nan ±nan     +nan ±nan     +8.3 ±13.4             0/0            —          0/0       21/164 13%              —
  06-mega-blaziken-tour v all eight   480   52.9     nan     60.0    +nan ±nan     +nan ±nan     +7.1 ±4.9              0/0            —          0/0     147/1494 10%              —

  07-skarmory-stall v altaria          60   56.7     nan     60.0    +nan ±nan     +nan ±nan     +3.3 ±12.3             0/0            —          0/0              0/0              —
  07-skarmory-stall v blaziken         60   28.3     nan     15.0    +nan ±nan     +nan ±nan    -13.3 ±9.8              0/0            —          0/0              0/0              —
  07-skarmory-stall v hydreigon        60   93.3     nan     68.3    +nan ±nan     +nan ±nan    -25.0 ±11.0             0/0            —          0/0              0/0              —
  07-skarmory-stall v lucario          60   41.7     nan     33.3    +nan ±nan     +nan ±nan     -8.3 ±11.7             0/0            —          0/0              0/0              —
  07-skarmory-stall v sceptile         60   35.0     nan     38.3    +nan ±nan     +nan ±nan     +3.3 ±11.4             0/0            —          0/0              0/0              —
  07-skarmory-stall v suicune          60   60.0     nan     66.7    +nan ±nan     +nan ±nan     +6.7 ±9.2              0/0            —          0/0              0/0              —
  07-skarmory-stall v vespiquen        60   40.0     nan     40.0    +nan ±nan     +nan ±nan     +0.0 ±14.0             0/0            —          0/0              0/0              —
  07-skarmory-stall v weezing          60   66.7     nan     60.0    +nan ±nan     +nan ±nan     -6.7 ±11.3             0/0            —          0/0              0/0              —
  07-skarmory-stall v all eight       480   52.7     nan     47.7    +nan ±nan     +nan ±nan     -5.0 ±4.1              0/0            —          0/0              0/0              —

  08-garchomp-toolbox v altaria        60   43.3     nan     40.0    +nan ±nan     +nan ±nan     -3.3 ±11.4             0/0            —          0/0       14/126 11%              —
  08-garchomp-toolbox v blaziken       60   11.7     nan     16.7    +nan ±nan     +nan ±nan     +5.0 ±9.8              0/0            —          0/0       19/105 18%              —
