dataset,cell_set,a,a_deck_name,b,b_deck_name,W,L,T,DL,n,score_pct,band95_pts
holdout,new_scoreboard,rayquaza,Dragonair Mega Rayquaza ex,hydreigon,Hydreigon Mega Absol ex,13,17,0,0,30,43.33,17.73
holdout,new_scoreboard,rayquaza,Dragonair Mega Rayquaza ex,weezing,Team Rocket's Weezing ex Hoopa ex,7,6,0,1,13,53.85,27.10
holdout,new_scoreboard,rayquaza,Dragonair Mega Rayquaza ex,blaziken,Mega Blaziken ex,6,9,0,1,15,40.00,24.79
holdout,new_scoreboard,altaria_greninja,Mega Altaria ex Greninja,lucario,Mega Lucario ex Lucario,26,19,0,3,45,57.78,14.43
holdout,new_scoreboard,altaria_greninja,Mega Altaria ex Greninja,altaria,Mega Altaria ex Espeon,20,27,2,3,49,42.86,13.86
holdout,new_scoreboard,altaria_greninja,Mega Altaria ex Greninja,sceptile,Butterfree Mega Sceptile ex,10,20,1,1,31,33.87,16.66
holdout,new_scoreboard,altaria_greninja,Mega Altaria ex Greninja,vespiquen,Vespiquen ex Shuckle ex,6,19,0,2,25,24.00,16.74
holdout,new_scoreboard,altaria_greninja,Mega Altaria ex Greninja,suicune,Suicune ex Baxcalibur,6,17,0,0,23,26.09,17.95
holdout,new_scoreboard,altaria_greninja,Mega Altaria ex Greninja,hydreigon,Hydreigon Mega Absol ex,11,13,0,2,24,45.83,19.93
holdout,new_scoreboard,altaria_greninja,Mega Altaria ex Greninja,weezing,Team Rocket's Weezing ex Hoopa ex,6,6,0,1,12,50.00,28.29
holdout,new_scoreboard,altaria_greninja,Mega Altaria ex Greninja,blaziken,Mega Blaziken ex,4,5,1,1,10,45.00,30.83
pooled,coverage,scizor,Mega Scizor ex Revavroom,lucario,Mega Lucario ex Lucario,5,2,0,0,7,71.43,33.47
pooled,coverage,scizor,Mega Scizor ex Revavroom,altaria,Mega Altaria ex Espeon,6,7,0,0,13,46.15,27.10
pooled,coverage,scizor,Mega Scizor ex Revavroom,sceptile,Butterfree Mega Sceptile ex,0,3,0,0,3,0.00,0.00
pooled,coverage,scizor,Mega Scizor ex Revavroom,vespiquen,Vespiquen ex Shuckle ex,1,3,0,0,4,25.00,42.44
pooled,coverage,scizor,Mega Scizor ex Revavroom,suicune,Suicune ex Baxcalibur,4,1,1,0,6,75.00,34.65
pooled,coverage,scizor,Mega Scizor ex Revavroom,hydreigon,Hydreigon Mega Absol ex,2,3,0,0,5,40.00,42.94
pooled,coverage,scizor,Mega Scizor ex Revavroom,weezing,Team Rocket's Weezing ex Hoopa ex,0,1,0,0,1,0.00,0.00
pooled,coverage,scizor,Mega Scizor ex Revavroom,blaziken,Mega Blaziken ex,0,1,0,0,1,0.00,0.00
pooled,new_scoreboard,rayquaza,Dragonair Mega Rayquaza ex,lucario,Mega Lucario ex Lucario,76,43,1,5,120,63.75,8.60
pooled,new_scoreboard,rayquaza,Dragonair Mega Rayquaza ex,altaria,Mega Altaria ex Espeon,82,83,8,3,173,49.71,7.45
