game_seed,deck_in_seat_0,winner_seat,final_turn,points_seat0,points_seat1
72000256,blaziken,0,8,3,0
72000257,altaria,0,9,2,0
72000257,blaziken,0,18,5,1
72000258,altaria,1,9,0,3
72000258,blaziken,0,6,2,0
72000259,altaria,0,10,4,2
72000259,blaziken,0,10,4,2
72000260,altaria,0,10,3,1
72000260,blaziken,0,12,5,0
72000261,altaria,0,10,3,2
72000261,blaziken,0,8,3,0
72000262,altaria,1,9,1,3
72000262,blaziken,1,5,0,2
72000263,altaria,0,10,4,0
72000263,blaziken,0,8,3,0
72000264,altaria,1,11,2,3
72000264,blaziken,1,11,2,4
72000265,altaria,1,11,1,4
72000265,blaziken,1,11,2,4
72000266,altaria,1,10,1,3
72000266,blaziken,0,11,3,2
72000267,altaria,0,11,2,0
72000267,blaziken,0,9,3,2
72000268,altaria,0,9,4,2
72000268,blaziken,1,4,0,1
72000269,altaria,1,9,1,3
72000269,blaziken,0,12,3,1
72000270,altaria,1,7,1,3
72000270,blaziken,1,3,0,1
72000271,altaria,0,13,4,2
72000271,blaziken,1,10,1,3
72000272,altaria,1,9,2,3
72000272,blaziken,0,10,3,2
72000273,altaria,0,8,5,0
72000273,blaziken,1,10,1,4
72000274,altaria,0,7,2,1
72000274,blaziken,1,12,2,5
72000275,altaria,1,11,1,5
72000275,blaziken,0,11,3,1
72000276,altaria,0,11,3,0
72000276,blaziken,0,11,3,2
72000277,altaria,0,8,3,1
72000277,blaziken,1,7,1,3
72000278,altaria,0,8,3,0
72000278,blaziken,0,10,5,1
72000279,altaria,0,9,4,2
72000279,blaziken,0,11,3,1
72000280,altaria,0,3,1,0
72000280,blaziken,0,15,3,2
72000281,altaria,1,10,0,5
72000281,blaziken,0,11,4,1
72000282,altaria,0,13,5,1
72000282,blaziken,1,14,1,4
72000283,altaria,0,16,5,2
72000283,blaziken,0,16,3,2
72000284,altaria,1,10,2,3
72000284,blaziken,1,12,2,3
72000285,altaria,0,11,4,2
72000285,blaziken,1,8,0,4
72000286,altaria,1,9,1,3
72000286,blaziken,0,12,3,2
72000287,altaria,0,7,3,0
72000287,blaziken,1,11,2,4
