archetype,rank_sept10,rank_window,dustin,player,display_name,event_id,event_name,event_size,date,placing,drop,record,deck_id,cards_carried,url
Mega Lucario ex Lucario,1,1,False,oscarparra,Hisoka .,6aa1e900a4272c53be64c5ce,THE BREAKFAST CLUB KELP CLASSIC #9 - $5,64,2026-09-10,18,,4-3-0,mega-lucario-ex-b3-lucario-a2,Protective Poncho x1,https://play.limitlesstcg.com/tournament/6aa1e900a4272c53be64c5ce/player/oscarparra/decklist
Mega Lucario ex Lucario,1,1,False,dietdrkelp,𝗠𝗢𝗡⭐| Suede,6a96b86babb948223750549c,Dark League Pop Up,46,2026-09-01,18,,3-3-1,mega-lucario-ex-b3-lucario-a2,Protective Poncho x1,https://play.limitlesstcg.com/tournament/6a96b86babb948223750549c/player/dietdrkelp/decklist
Mega Lucario ex Lucario,1,1,False,azuran,Azuran,6a8ea2690580a332c8420304,Rozey Birthday Pop Up By Dark league,29,2026-08-26,18,,2-3-0,mega-lucario-ex-b3-lucario-a2,Protective Poncho x1,https://play.limitlesstcg.com/tournament/6a8ea2690580a332c8420304/player/azuran/decklist
Mega Lucario ex Lucario,1,1,False,nakopol91,nakopol91,6a98fd1ba4272c53be6457c3,TBC The Rowdy Russell Rumble-$20-QUICK,53,2026-09-03,19,6,3-3-0,mega-lucario-ex-b3-lucario-a2,Protective Poncho x1,https://play.limitlesstcg.com/tournament/6a98fd1ba4272c53be6457c3/player/nakopol91/decklist
Mega Lucario ex Lucario,1,1,False,flameking3,FLAMEKING3,6a96b86babb948223750549c,Dark League Pop Up,46,2026-09-01,19,,3-3-1,mega-lucario-ex-b3-lucario-a2,Protective Poncho x1,https://play.limitlesstcg.com/tournament/6a96b86babb948223750549c/player/flameking3/decklist
Mega Lucario ex Lucario,1,1,False,avelino_off,AVELINO_OFF,6aa6942138886b36383be9a3,DR KELP’S CHUM BUCKET POP UP - FA COPYCAT,38,2026-09-13,19,,2-3-0,mega-lucario-ex-b3-lucario-a2,Protective Poncho x1,https://play.limitlesstcg.com/tournament/6aa6942138886b36383be9a3/player/avelino_off/decklist
Mega Lucario ex Lucario,1,1,False,radarada,RadaRada,6a9f6899a4272c53be64a894,Umbreon99's Team Rocket's Bash: $10 USD + 🌈,172,2026-09-08,20,,5-2-1,mega-lucario-ex-b3-lucario-a2,Rocky Helmet x1,https://play.limitlesstcg.com/tournament/6a9f6899a4272c53be64a894/player/radarada/decklist
Mega Lucario ex Lucario,1,1,False,pokeody,PokeOdy,6a96069dabb9482237504f7f,Plasma Daily #22| Team Rocket's Ambitions| FA Card,113,2026-09-01,20,,4-2-1,mega-lucario-ex-b3-lucario-a2,Protective Poncho x1,https://play.limitlesstcg.com/tournament/6a96069dabb9482237504f7f/player/pokeody/decklist
Mega Lucario ex Lucario,1,1,False,neophyte885,Neophyte885,6a8ea2690580a332c8420304,Rozey Birthday Pop Up By Dark league,29,2026-08-26,20,,1-4-0,mega-lucario-ex-b3-lucario-a2,Protective Poncho x1,https://play.limitlesstcg.com/tournament/6a8ea2690580a332c8420304/player/neophyte885/decklist
Mega Lucario ex Lucario,1,1,False,alana,𝗠𝗲𝗴𝗮 Alana 𝗘𝗫,6a90c1890580a332c842170e,🚀Nuggie's POG Tourney #14 $25 Winner Takes ALL🚀,106,2026-08-30,21,,4-2-1,mega-lucario-ex-b3-lucario-a2,Protective Poncho x1; Rocky Helmet x1,https://play.limitlesstcg.com/tournament/6a90c1890580a332c842170e/player/alana/decklist
Mega Lucario ex Lucario,1,1,False,birdnest,BirdNest,6a918b3d629039f77d8a40ca,Pop Up Series 8 || 3 FA OAKS + DX SHINIES,66,2026-08-29,21,,3-2-0,mega-lucario-ex-b3-lucario-a2,Protective Poncho x1,https://play.limitlesstcg.com/tournament/6a918b3d629039f77d8a40ca/player/birdnest/decklist
Mega Lucario ex Lucario,1,1,False,rectarenanda,rectarenanda,6a8b7ef58302ae761e5fac0a,♨️Sauna's POG Tournament #23 |SLEEP BAN| 5USD + FA,60,2026-08-28,22,,3-3-0,mega-lucario-ex-b3-lucario-a2,Protective Poncho x1,https://play.limitlesstcg.com/tournament/6a8b7ef58302ae761e5fac0a/player/rectarenanda/decklist
Mega Lucario ex Lucario,1,1,False,lennydeski,LENNY DESKI,6a78c5912b308b6067b4f421,Tournament Vegegras cash prize 100usd,116,2026-09-05,23,,6-3-0,mega-lucario-ex-b3-lucario-a2,Protective Poncho x1,https://play.limitlesstcg.com/tournament/6a78c5912b308b6067b4f421/player/lennydeski/decklist
Mega Lucario ex Lucario,1,1,False,flipinton,Flipinton,6a985d35ab080c8c957f7fac,The Dark League Tournament | POP UP,77,2026-09-02,23,,4-3-1,mega-lucario-ex-b3-lucario-a2,Protective Poncho x1,https://play.limitlesstcg.com/tournament/6a985d35ab080c8c957f7fac/player/flipinton/decklist
Mega Lucario ex Lucario,1,1,False,normo360,𝗠𝗮𝗴𝗺𝗮 StorM,6aa13feaa4272c53be64b94a,DR KELP’S CHUM BUCKET POP UP,49,2026-09-09,23,,3-2-0,mega-lucario-ex-b3-lucario-a2,Protective Poncho x1,https://play.limitlesstcg.com/tournament/6aa13feaa4272c53be64b94a/player/normo360/decklist
Mega Lucario ex Lucario,1,1,False,avelino_off,AVELINO_OFF,6aa89ad438886b36383c071a,✧･❀🌸Flutter Festival Debut! -15$🌸❀･✧,80,2026-09-16,24,,3-3-0,mega-lucario-ex-b3-lucario-a2,Protective Poncho x1,https://play.limitlesstcg.com/tournament/6aa89ad438886b36383c071a/player/avelino_off/decklist
Mega Lucario ex Lucario,1,1,False,dietdrkelp,𝗠𝗢𝗡⭐| Suede,6a7e2b83cdc0391d7fa65afb,Umbreon99's Aura Sphere #4: $15 USD + Oak,219,2026-09-11,27,,6-3-1,mega-lucario-ex-b3-lucario-a2,Protective Poncho x1,https://play.limitlesstcg.com/tournament/6a7e2b83cdc0391d7fa65afb/player/dietdrkelp/decklist
Mega Lucario ex Lucario,1,1,False,mami,Mami,6aa6244c38886b36383be644,🔥Highlight's Pyro Pop-Up #2🔥 FA OAK!,33,2026-09-13,28,2,0-2-0,mega-lucario-ex-b3-lucario-a2,Protective Poncho x1,https://play.limitlesstcg.com/tournament/6aa6244c38886b36383be644/player/mami/decklist
Mega Lucario ex Lucario,1,1,False,luckyex888,LuckyEX888,6a99bbffa4272c53be645f44,Block Dragon Pop Up (RR Team Rockets Raticate),60,2026-09-03,29,6,2-4-0,mega-lucario-ex-b3-lucario-a2,Protective Poncho x1,https://play.limitlesstcg.com/tournament/6a99bbffa4272c53be645f44/player/luckyex888/decklist
Mega Lucario ex Lucario,1,1,False,ziquan2,ziquan2,6aac7e78f127b1b52c27ba59,$40 USD+FA | 巫獅對戰塔盃 LeoWizard BattleTower Cup #12,112,2026-09-19,30,,5-3-0,mega-lucario-ex-b3-lucario-a2,Protective Poncho x1,https://play.limitlesstcg.com/tournament/6aac7e78f127b1b52c27ba59/player/ziquan2/decklist
Mega Lucario ex Lucario,1,1,False,sandy_permata205,𝗠𝗲𝗴𝗮 R X Prexure,6a94b2ffabb9482237504367,♨️Sauna X Almond POG Tournament #24|10USD + FA!,110,2026-09-02,30,,4-3-0,mega-lucario-ex-b3-lucario-a2,Protective Poncho x1,https://play.limitlesstcg.com/tournament/6a94b2ffabb9482237504367/player/sandy_permata205/decklist
Mega Lucario ex Lucario,1,1,False,nifaa,𝙈𝙉𝙍𝘾 | Nifaa,6a989e74a4272c53be6453c4,🔥 TBC × HYPE PACKS: AFTERMADS #1 — $150 🔥,134,2026-09-13,31,,5-3-1,mega-lucario-ex-b3-lucario-a2,Protective Poncho x1,https://play.limitlesstcg.com/tournament/6a989e74a4272c53be6453c4/player/nifaa/decklist
Mega Lucario ex Lucario,1,1,False,wanderer02,Wanderer02,6a9e12feab080c8c957fc84e,♨️Sauna X Ev4de POG Tournament #27|10 USD+Top 4 FA,73,2026-09-11,31,,3-3-0,mega-lucario-ex-b3-lucario-a2,Protective Poncho x1,https://play.limitlesstcg.com/tournament/6a9e12feab080c8c957fc84e/player/wanderer02/decklist
Mega Lucario ex Lucario,1,1,False,einstun,𝙈𝙚𝙜𝙖 Einstun 𝙀𝙭,6a98fd1ba4272c53be6457c3,TBC The Rowdy Russell Rumble-$20-QUICK,53,2026-09-03,31,,2-4-0,mega-lucario-ex-b3-lucario-a2,Protective Poncho x1,https://play.limitlesstcg.com/tournament/6a98fd1ba4272c53be6457c3/player/einstun/decklist
Mega Lucario ex Lucario,1,1,False,tommykamikace,TommyKamikace,6a7e2b83cdc0391d7fa65afb,Umbreon99's Aura Sphere #4: $15 USD + Oak,219,2026-09-11,32,,6-4-0,mega-lucario-ex-b3-lucario-a2,Protective Poncho x1,https://play.limitlesstcg.com/tournament/6a7e2b83cdc0391d7fa65afb/player/tommykamikace/decklist
Mega Lucario ex Lucario,1,1,False,flameking3,FLAMEKING3,6a9718fd629039f77d8a790e,Plasma Daily #23| Team Rocket's Ambitions| FA Card,119,2026-09-02,32,,4-3-0,mega-lucario-ex-b3-lucario-a2,Protective Poncho x1,https://play.limitlesstcg.com/tournament/6a9718fd629039f77d8a790e/player/flameking3/decklist
Mega Lucario ex Lucario,1,1,False,sawitlovers,SawitLovers,6aa1e900a4272c53be64c5ce,THE BREAKFAST CLUB KELP CLASSIC #9 - $5,64,2026-09-10,32,,1-6-0,mega-lucario-ex-b3-lucario-a2,Rocky Helmet x2,https://play.limitlesstcg.com/tournament/6aa1e900a4272c53be64c5ce/player/sawitlovers/decklist
Mega Lucario ex Lucario,1,1,False,thomasxavier21,ThomasXavier21,6a98fd1ba4272c53be6457c3,TBC The Rowdy Russell Rumble-$20-QUICK,53,2026-09-03,32,5,2-3-0,mega-lucario-ex-b3-lucario-a2,Protective Poncho x1,https://play.limitlesstcg.com/tournament/6a98fd1ba4272c53be6457c3/player/thomasxavier21/decklist
Mega Lucario ex Lucario,1,1,False,spritzol,Spritzol,6aaac3d9f1243e65f9802bad,🥊 20$ BEC'S KING OF THE HILL - ANY FA PRIZE!,95,2026-09-18,33,,1-1-0,mega-lucario-ex-b3-lucario-a2,Protective Poncho x1,https://play.limitlesstcg.com/tournament/6aaac3d9f1243e65f9802bad/player/spritzol/decklist
Mega Lucario ex Lucario,1,1,False,einstun,𝙈𝙚𝙜𝙖 Einstun 𝙀𝙭,6a8b75058302ae761e5fab7e,FAREWELL B4!|2x Hoopa ex RR Prize+More!|TH Series,81,2026-08-26,33,,3-4-0,mega-lucario-ex-b3-lucario-a2,Protective Poncho x1,https://play.limitlesstcg.com/tournament/6a8b75058302ae761e5fab7e/player/einstun/decklist
